Feedback_ID,Product_ID,Country_ID,Year,Rating,Recommendation_Flag,Feedback_Category,Is_Negative
F000074,3,7,2022,4.4,0,Service Experience,0
F000075,1,5,2024,3.47,0,Charging Infrastructure,0
F000076,2,4,2025,4.03,1,Price & Value,0
F000077,3,5,2022,3.7,0,Build Quality,0
F000078,1,6,2022,3.68,0,Build Quality,0
F000079,1,6,2023,4.2,1,Build Quality,1
F000080,3,2,2024,3.47,0,Price & Value,0
F000081,2,4,2024,4.3,1,Service Experience,0
F000082,2,1,2022,4.92,0,Build Quality,0
F000083,3,5,2024,4.19,1,Build Quality,0
F000084,4,10,2024,3.72,0,Charging Infrastructure,1
F000085,1,1,2024,3.93,0,Battery Performance,1
F000086,1,5,2022,4.01,1,Price & Value,1
F000087,2,2,2023,4.82,1,Battery Performance,0
F000088,2,8,2026,4.18,1,Service Experience,0
F000089,1,8,2025,4.27,1,Battery Performance,0
F000090,1,2,2026,3.91,0,Software & UI,0
F000091,3,6,2024,4.87,1,Build Quality,0
F000092,1,1,2025,4.13,1,Build Quality,0
F000093,1,1,2024,3.55,0,Battery Performance,0
F000094,1,7,2022,4.22,1,Battery Performance,0
F000095,1,4,2022,2.7,0,Battery Performance,1
F000096,1,9,2023,3.7,0,Price & Value,0
F000097,2,5,2025,4.49,1,Charging Infrastructure,0
F000098,1,2,2022,3.6,0,Build Quality,0
F000099,2,10,2025,4.63,1,Price & Value,0
F000100,3,1,2022,4.27,1,Charging Infrastructure,1
F000101,2,6,2024,4.15,1,Software & UI,0
F000102,3,11,2022,3.67,0,Charging Infrastructure,0
F000103,3,11,2024,4.15,1,Battery Performance,0
F000104,2,8,2024,4.27,1,Build Quality,0
F000105,4,11,2023,3.96,0,Battery Performance,0
F000106,4,4,2024,3.92,0,Price & Value,0
F000107,3,9,2026,4.52,1,Battery Performance,1
F000108,1,3,2023,4.14,1,Build Quality,0
F000109,1,6,2026,3.62,0,Service Experience,1
F000110,4,5,2026,4.36,1,Software & UI,0
F000111,1,10,2023,3.69,0,Battery Performance,0
F000112,1,6,2023,3.56,0,Service Experience,1
F000113,2,5,2025,3.82,0,Charging Infrastructure,0
F000114,1,12,2023,3.73,0,Build Quality,0
F000115,2,8,2023,5.0,0,Software & UI,0
F000116,2,6,2025,4.86,1,Price & Value,0
F000117,2,7,2023,5.0,1,Build Quality,0
F000118,4,3,2026,3.75,0,Software & UI,0
F000119,4,3,2022,4.42,1,Software & UI,0
F000120,1,5,2022,3.44,0,Build Quality,0
F000121,1,9,2025,3.5,0,Build Quality,0
F000122,3,8,2025,4.33,1,Build Quality,0
F000123,2,5,2026,5.0,1,Build Quality,0
F000124,1,1,2023,3.8,0,Service Experience,0
F000125,1,4,2022,3.35,0,Software & UI,0
F000126,1,2,2024,3.95,0,Charging Infrastructure,1
F000127,1,4,2024,3.4,0,Price & Value,1
F000128,3,2,2026,4.43,1,Service Experience,0
F000129,3,2,2024,4.42,1,Battery Performance,0
F000130,3,8,2025,4.44,1,Charging Infrastructure,0
F000131,1,12,2022,4.01,1,Software & UI,0
F000132,1,4,2025,4.54,1,Service Experience,0
F000133,4,11,2025,3.46,0,Service Experience,0
F000134,1,4,2025,2.74,0,Battery Performance,0
F000135,3,1,2022,4.37,1,Service Experience,0
F000136,4,11,2026,4.2,1,Price & Value,0
F000137,4,6,2025,4.05,1,Battery Performance,0
F000138,1,5,2026,4.61,1,Service Experience,0
F000139,1,7,2022,4.47,1,Battery Performance,0
F000140,1,7,2024,3.16,0,Price & Value,1
F000141,3,3,2023,4.4,1,Build Quality,0
F000142,1,10,2025,4.31,1,Build Quality,0
F000143,1,12,2026,3.8,0,Battery Performance,0
F000144,1,2,2025,3.03,0,Battery Performance,0
F000145,1,3,2024,4.24,1,Software & UI,0
F000146,2,3,2025,4.94,1,Build Quality,0
F000147,4,5,2023,4.84,1,Build Quality,0
F000148,4,3,2022,3.92,0,Build Quality,0
F000149,2,1,2024,3.49,0,Battery Performance,0
F000150,2,11,2022,4.47,1,Service Experience,0
F000151,3,6,2025,3.89,0,Price & Value,0
F000152,4,3,2026,4.38,1,Service Experience,0
F000153,1,2,2022,3.51,0,Service Experience,0
F000154,1,1,2025,4.67,1,Software & UI,0
F000155,2,5,2025,3.74,0,Price & Value,0
F000156,1,7,2023,3.37,0,Service Experience,0
F000157,1,4,2024,2.98,0,Software & UI,1
F000158,2,2,2025,4.53,1,Service Experience,0
F000159,3,1,2023,4.05,1,Price & Value,0
F000160,2,2,2025,4.59,1,Battery Performance,0
F000161,4,11,2026,4.15,1,Price & Value,0
F000162,1,8,2026,3.69,0,Software & UI,0
F000163,1,9,2022,3.52,0,Service Experience,0
F000164,1,9,2025,3.8,0,Service Experience,0
F000165,3,2,2022,3.78,0,Battery Performance,0
F000166,2,11,2022,4.04,0,Build Quality,0
F000167,1,2,2025,3.83,0,Build Quality,0
F000168,2,8,2023,4.33,1,Battery Performance,0
F000169,2,2,2024,4.96,0,Software & UI,0
F000170,2,1,2024,4.47,1,Build Quality,0
F000171,2,4,2026,3.94,0,Price & Value,0
F000172,2,1,2025,4.71,1,Charging Infrastructure,0
F000173,1,4,2024,3.93,0,Battery Performance,0
F000174,4,1,2025,4.49,1,Build Quality,0
F000175,2,3,2022,4.39,1,Battery Performance,0
F000176,1,2,2024,3.94,0,Battery Performance,0
F000177,1,1,2026,4.81,1,Build Quality,1
F000178,2,1,2022,4.19,1,Battery Performance,0
F000179,1,9,2024,2.87,0,Charging Infrastructure,1
F000180,1,10,2025,4.18,1,Build Quality,0
F000181,2,7,2023,4.28,1,Price & Value,0
F000182,2,1,2024,4.34,1,Price & Value,0
F000183,1,8,2023,4.13,1,Build Quality,0
F000184,2,10,2024,4.16,1,Service Experience,0
F000185,2,3,2025,4.22,1,Price & Value,0
F000186,2,9,2022,4.38,1,Build Quality,1
F000187,3,3,2023,5.0,0,Software & UI,0
F000188,3,6,2022,5.0,1,Service Experience,0
F000189,2,7,2022,3.49,0,Build Quality,0
F000190,1,9,2024,4.17,1,Price & Value,0
F000191,1,10,2026,3.49,0,Battery Performance,0
F000192,1,4,2023,4.28,0,Charging Infrastructure,0
F000193,1,1,2025,3.47,0,Charging Infrastructure,1
F000194,2,9,2025,4.52,1,Charging Infrastructure,0
F000195,1,2,2026,3.7,0,Build Quality,1
F000196,2,4,2023,4.77,1,Build Quality,0
F000197,3,3,2025,4.28,1,Service Experience,0
F000198,4,8,2024,3.94,0,Service Experience,0
F000199,2,6,2026,4.25,1,Price & Value,0
F000200,2,4,2025,4.92,1,Price & Value,0
F000201,2,4,2025,4.3,1,Battery Performance,0
F000202,1,4,2026,3.3,0,Software & UI,0
F000203,1,3,2024,3.41,0,Build Quality,0
F000204,2,11,2026,4.95,1,Charging Infrastructure,1
F000205,1,9,2025,3.88,0,Software & UI,0
F000206,4,11,2023,4.12,1,Build Quality,0
F000207,2,1,2025,5.0,1,Software & UI,0
F000208,1,9,2023,3.67,0,Software & UI,0
F000209,1,1,2026,4.39,1,Software & UI,1
F000210,1,1,2023,3.78,0,Battery Performance,0
F000211,1,4,2024,3.76,0,Build Quality,0
F000212,1,5,2024,4.16,1,Service Experience,0
F000213,1,4,2024,3.46,0,Software & UI,0
F000214,4,3,2024,3.88,0,Build Quality,1
F000215,3,4,2026,3.87,0,Battery Performance,1
F000216,3,4,2026,4.59,1,Charging Infrastructure,0
F000217,3,9,2022,4.19,1,Software & UI,0
F000218,4,4,2025,4.17,1,Charging Infrastructure,0
F000219,1,6,2026,3.93,0,Software & UI,1
F000220,2,4,2023,4.47,1,Battery Performance,0
F000221,2,2,2022,4.66,1,Price & Value,0
F000222,2,7,2024,4.56,1,Build Quality,0
F000223,4,11,2024,2.7,0,Service Experience,0
F000224,1,1,2024,4.39,1,Service Experience,0
F000225,1,1,2024,3.22,0,Charging Infrastructure,0
F000226,3,10,2025,4.02,1,Price & Value,0
F000227,1,12,2024,3.39,0,Service Experience,0
F000228,4,4,2022,3.85,0,Price & Value,0
F000229,3,3,2026,4.51,1,Software & UI,0
F000230,1,4,2026,3.54,0,Service Experience,0
F000231,2,1,2024,4.93,1,Battery Performance,0
F000232,2,8,2025,4.05,1,Charging Infrastructure,0
F000233,3,9,2025,4.64,1,Build Quality,0
F000234,2,5,2024,3.37,0,Battery Performance,0
F000235,2,10,2025,5.0,1,Software & UI,0
F000236,2,8,2024,3.69,0,Service Experience,0
F000237,4,4,2023,3.96,0,Software & UI,0
F000238,3,5,2025,4.4,1,Service Experience,0
F000239,1,3,2025,3.98,0,Price & Value,1
F000240,1,9,2026,3.02,0,Build Quality,0
F000241,3,9,2022,4.18,1,Software & UI,0
F000242,1,6,2022,4.06,1,Battery Performance,1
F000243,1,6,2022,4.26,1,Battery Performance,0
F000244,4,12,2026,4.58,0,Battery Performance,0
F000245,3,11,2025,4.19,1,Battery Performance,0
F000246,1,9,2024,2.94,0,Price & Value,0
F000247,3,4,2026,4.17,1,Service Experience,0
F000248,3,4,2024,4.47,1,Price & Value,0
F000249,1,2,2025,4.16,0,Battery Performance,0
F000250,2,12,2025,4.64,1,Price & Value,0
F000251,4,12,2022,3.99,0,Build Quality,0
F000252,1,1,2025,4.33,1,Price & Value,0
F000253,3,5,2025,4.08,1,Service Experience,0
F000254,1,8,2025,3.46,0,Price & Value,0
F000255,1,4,2024,3.93,0,Software & UI,1
F000256,2,1,2025,3.9,0,Build Quality,0
F000257,3,4,2026,3.93,0,Battery Performance,0
F000258,1,1,2022,3.95,0,Build Quality,0
F000259,1,5,2024,3.76,0,Build Quality,0
F000260,1,12,2023,3.69,0,Battery Performance,0
F000261,2,7,2024,4.15,1,Build Quality,0
F000262,3,2,2026,4.21,1,Battery Performance,0
F000263,2,10,2026,4.88,1,Battery Performance,0
F000264,3,7,2023,3.39,0,Build Quality,0
F000265,1,2,2022,4.29,1,Charging Infrastructure,0
F000266,3,5,2026,4.34,1,Charging Infrastructure,1
F000267,1,11,2025,3.78,0,Service Experience,0
F000268,2,1,2026,4.09,1,Charging Infrastructure,0
F000269,1,6,2024,3.28,0,Charging Infrastructure,0
F000270,4,5,2023,3.9,0,Battery Performance,0
F000271,2,3,2023,4.16,1,Build Quality,0
F000272,1,3,2025,3.42,0,Price & Value,1
F000273,3,5,2024,4.8,0,Charging Infrastructure,0
F000274,1,4,2025,3.48,0,Charging Infrastructure,0
F000275,4,10,2025,3.71,0,Charging Infrastructure,0
F000276,2,1,2024,4.49,1,Service Experience,0
F000277,1,7,2024,4.08,1,Build Quality,0
F000278,3,4,2023,3.67,0,Charging Infrastructure,0
F000279,4,2,2025,3.23,0,Battery Performance,0
F000280,1,7,2026,5.0,1,Battery Performance,0
F000281,3,2,2022,3.57,0,Software & UI,0
F000282,3,10,2025,4.26,1,Price & Value,0
F000283,1,4,2026,2.99,0,Price & Value,0
F000284,3,9,2024,4.53,1,Charging Infrastructure,0
F000285,3,2,2024,4.79,0,Battery Performance,0
F000286,1,3,2023,4.23,0,Service Experience,0
F000287,1,1,2022,4.59,1,Battery Performance,0
F000288,2,6,2026,5.0,1,Software & UI,0
F000289,3,4,2024,4.24,1,Software & UI,0
F000290,3,1,2022,3.82,0,Build Quality,0
F000291,3,5,2024,4.11,1,Build Quality,0
F000292,4,6,2024,3.84,0,Charging Infrastructure,0
F000293,3,1,2023,3.73,0,Battery Performance,0
F000294,1,9,2024,3.49,0,Service Experience,0
F000295,1,9,2024,3.82,0,Service Experience,0
F000296,3,1,2022,4.3,1,Build Quality,0
F000297,2,12,2024,4.77,1,Software & UI,0
F000298,3,4,2026,3.28,0,Build Quality,0
F000299,2,5,2024,4.96,1,Software & UI,0
F000300,1,8,2023,3.59,0,Service Experience,0
F000301,1,4,2022,3.68,0,Price & Value,0
F000302,3,5,2025,4.5,1,Charging Infrastructure,0
F000303,2,7,2022,4.59,0,Build Quality,0
F000304,2,4,2024,4.39,1,Build Quality,0
F000305,1,4,2023,3.86,0,Price & Value,0
F000306,4,7,2023,3.98,0,Price & Value,0
F000307,3,1,2026,4.06,0,Service Experience,0
F000308,3,2,2025,4.4,1,Charging Infrastructure,0
F000309,1,3,2023,4.52,0,Battery Performance,0
F000310,4,8,2025,4.13,0,Charging Infrastructure,0
F000311,1,3,2026,3.4,0,Software & UI,0
F000312,1,11,2024,3.45,0,Battery Performance,0
F000313,3,1,2023,5.0,1,Charging Infrastructure,0
F000314,2,3,2022,4.64,1,Build Quality,0
F000315,3,3,2023,4.11,1,Battery Performance,1
F000316,1,1,2026,3.83,0,Software & UI,0
F000317,2,1,2022,3.83,0,Charging Infrastructure,0
F000318,1,11,2023,4.58,1,Price & Value,0
F000319,1,2,2024,3.84,0,Service Experience,0
F000320,1,9,2024,3.26,0,Charging Infrastructure,1
F000321,4,9,2022,4.46,1,Charging Infrastructure,0
F000322,2,8,2023,4.17,1,Price & Value,0
F000323,1,8,2026,3.1,0,Build Quality,0
F000324,2,10,2022,4.56,1,Build Quality,0
F000325,1,12,2023,3.92,0,Build Quality,0
F000326,3,10,2023,4.4,0,Charging Infrastructure,0
F000327,3,12,2022,3.52,0,Software & UI,0
F000328,3,11,2026,5.0,1,Charging Infrastructure,0
F000329,4,1,2026,3.83,0,Charging Infrastructure,0
F000330,1,7,2024,3.62,0,Software & UI,0
F000331,1,7,2025,4.06,1,Software & UI,0
F000332,2,2,2024,3.62,0,Service Experience,0
F000333,1,1,2023,4.5,1,Service Experience,0
F000334,1,8,2026,3.74,0,Service Experience,0
F000335,2,3,2026,4.99,1,Build Quality,0
F000336,3,3,2023,4.51,1,Build Quality,1
F000337,2,4,2022,4.8,1,Battery Performance,0
F000338,2,6,2025,4.53,0,Price & Value,0
F000339,1,1,2024,3.92,0,Battery Performance,1
F000340,4,11,2025,4.31,1,Software & UI,1
F000341,1,1,2022,4.1,1,Battery Performance,1
F000342,3,11,2024,4.48,1,Build Quality,0
F000343,2,9,2026,4.65,1,Price & Value,0
F000344,1,4,2026,4.52,1,Charging Infrastructure,1
F000345,1,4,2026,4.24,1,Build Quality,1
F000346,3,4,2026,4.15,1,Price & Value,0
F000347,1,5,2022,3.21,0,Battery Performance,0
F000348,1,5,2022,3.97,0,Software & UI,0
F000349,1,3,2023,3.96,0,Build Quality,0
F000350,2,5,2026,4.8,1,Software & UI,1
F000351,4,6,2023,4.48,0,Software & UI,0
F000352,1,2,2024,3.54,0,Price & Value,0
F000353,3,7,2026,4.39,1,Build Quality,0
F000354,1,11,2023,3.93,0,Battery Performance,0
F000355,1,8,2024,2.85,0,Charging Infrastructure,1
F000356,1,1,2025,3.75,0,Price & Value,0
F000357,2,1,2026,4.63,0,Price & Value,0
F000358,2,4,2024,4.07,1,Battery Performance,0
F000359,4,3,2025,4.15,0,Build Quality,0
F000360,1,6,2026,3.81,0,Charging Infrastructure,0
F000361,2,3,2022,4.8,1,Charging Infrastructure,0
F000362,1,11,2023,4.68,1,Service Experience,0
F000363,2,7,2024,3.87,0,Service Experience,0
F000364,1,1,2025,4.52,0,Battery Performance,1
F000365,4,1,2024,4.14,1,Battery Performance,0
F000366,2,8,2023,5.0,0,Charging Infrastructure,0
F000367,3,4,2026,4.88,1,Service Experience,0
F000368,1,4,2026,4.12,1,Price & Value,0
F000369,1,9,2023,4.4,0,Build Quality,0
F000370,2,5,2024,4.49,0,Price & Value,1
F000371,1,9,2025,3.7,0,Price & Value,1
F000372,1,1,2025,3.65,0,Software & UI,0
F000373,1,1,2024,4.0,1,Software & UI,0
F000374,3,6,2023,4.77,1,Charging Infrastructure,0
F000375,4,8,2025,4.28,1,Price & Value,0
F000376,4,7,2026,3.73,0,Battery Performance,0
F000377,1,9,2025,3.86,0,Charging Infrastructure,0
F000378,3,4,2024,4.28,1,Build Quality,0
F000379,1,2,2023,3.2,0,Price & Value,0
F000380,2,11,2022,4.49,1,Build Quality,0
F000381,3,7,2024,3.5,0,Software & UI,0
F000382,3,1,2024,3.9,0,Charging Infrastructure,0
F000383,1,3,2024,3.7,0,Build Quality,0
F000384,1,1,2022,3.66,0,Battery Performance,1
F000385,2,11,2025,3.9,0,Service Experience,0
F000386,4,2,2024,3.95,0,Software & UI,0
F000387,1,5,2023,3.54,0,Battery Performance,0
F000388,1,3,2024,2.9,0,Charging Infrastructure,1
F000389,2,5,2022,4.61,1,Charging Infrastructure,0
F000390,3,4,2026,4.2,1,Build Quality,0
F000391,3,2,2026,3.63,0,Build Quality,0
F000392,1,12,2024,3.93,0,Build Quality,0
F000393,1,12,2026,4.61,1,Service Experience,1
F000394,3,4,2023,4.26,1,Software & UI,0
F000395,3,5,2024,3.2,0,Price & Value,0
F000396,4,7,2025,4.38,0,Battery Performance,0
F000397,3,2,2025,3.59,0,Service Experience,0
F000398,4,5,2026,4.37,1,Build Quality,0
F000399,4,1,2024,4.48,0,Battery Performance,0
F000400,1,2,2026,2.97,0,Build Quality,1
F000401,1,7,2024,3.41,0,Software & UI,1
F000402,1,6,2022,3.93,0,Charging Infrastructure,1
F000403,2,9,2025,4.19,1,Service Experience,0
F000404,2,7,2023,4.5,1,Service Experience,0
F000405,1,1,2024,2.75,0,Battery Performance,1
F000406,4,1,2024,3.45,0,Service Experience,0
F000407,2,7,2025,5.0,0,Price & Value,0
F000408,1,3,2024,3.09,0,Build Quality,0
F000409,3,2,2023,4.06,1,Battery Performance,0
F000410,3,2,2022,4.13,1,Charging Infrastructure,0
F000411,2,9,2022,4.92,1,Price & Value,0
F000412,3,3,2023,4.19,1,Software & UI,1
F000413,4,3,2026,3.81,0,Battery Performance,0
F000414,3,1,2026,4.17,1,Software & UI,0
F000415,2,7,2024,4.68,0,Build Quality,0
F000416,3,2,2026,3.83,0,Build Quality,0
F000417,1,1,2024,4.12,1,Charging Infrastructure,0
F000418,2,8,2025,4.65,1,Service Experience,0
F000419,2,2,2023,4.71,1,Price & Value,0
F000420,1,9,2024,3.81,0,Charging Infrastructure,0
F000421,1,2,2025,4.3,1,Price & Value,0
F000422,2,9,2026,5.0,1,Software & UI,0
F000423,3,10,2022,4.12,1,Build Quality,0
F000424,2,5,2024,4.94,1,Software & UI,0
F000425,1,6,2022,3.01,0,Charging Infrastructure,0
F000426,4,8,2023,3.49,0,Battery Performance,0
F000427,1,4,2025,3.41,0,Charging Infrastructure,1
F000428,2,5,2022,3.87,0,Build Quality,0
F000429,2,5,2026,4.98,1,Charging Infrastructure,0
F000430,1,10,2025,3.52,0,Battery Performance,0
F000431,3,6,2023,3.5,0,Charging Infrastructure,0
F000432,4,1,2024,4.99,1,Build Quality,0
F000433,3,6,2024,4.16,1,Battery Performance,0
F000434,1,2,2026,3.61,0,Price & Value,0
F000435,1,9,2025,4.46,1,Battery Performance,0
F000436,3,5,2023,3.7,0,Build Quality,1
F000437,3,10,2023,3.79,0,Software & UI,0
F000438,4,3,2024,3.1,0,Price & Value,0
F000439,3,6,2026,4.73,1,Software & UI,1
F000440,2,7,2026,5.0,1,Battery Performance,0
F000441,1,7,2025,3.19,0,Service Experience,0
F000442,3,3,2024,4.02,1,Battery Performance,0
F000443,1,2,2025,4.89,1,Charging Infrastructure,0
F000444,3,4,2024,3.94,0,Software & UI,0
F000445,3,9,2026,4.37,1,Charging Infrastructure,0
F000446,1,4,2024,3.79,0,Charging Infrastructure,0
F000447,3,9,2024,4.16,1,Service Experience,0
F000448,3,6,2026,4.34,1,Battery Performance,0
F000449,2,8,2024,4.68,1,Charging Infrastructure,0
F000450,2,1,2024,3.9,0,Build Quality,0
F000451,3,2,2024,3.36,0,Battery Performance,0
F000452,1,7,2024,3.76,0,Software & UI,0
F000453,1,7,2025,4.56,1,Software & UI,0
F000454,1,1,2025,4.47,0,Charging Infrastructure,1
F000455,1,2,2024,3.52,0,Battery Performance,0
F000456,3,10,2022,3.62,0,Battery Performance,0
F000457,3,6,2024,3.79,0,Battery Performance,0
F000458,3,10,2026,3.99,0,Software & UI,0
F000459,1,2,2024,3.92,0,Service Experience,1
F000460,3,3,2023,3.85,0,Software & UI,0
F000461,1,5,2025,4.42,1,Build Quality,0
F000462,2,10,2026,4.03,1,Build Quality,0
F000463,3,1,2023,3.53,0,Software & UI,0
F000464,3,7,2022,4.6,1,Battery Performance,1
F000465,4,1,2024,4.13,1,Software & UI,1
F000466,3,1,2025,4.37,1,Battery Performance,0
F000467,1,3,2024,4.21,1,Build Quality,0
F000468,4,5,2023,4.18,0,Build Quality,0
F000469,1,1,2024,3.84,0,Software & UI,0
F000470,1,1,2025,3.93,0,Price & Value,0
F000471,4,10,2025,4.21,0,Charging Infrastructure,0
F000472,3,2,2026,3.98,0,Service Experience,0
F000473,3,4,2025,4.57,1,Battery Performance,0
F000474,4,3,2024,4.62,1,Build Quality,0
F000475,1,1,2023,3.81,0,Battery Performance,0
F000476,4,9,2025,3.15,0,Charging Infrastructure,0
F000477,4,4,2025,4.35,1,Battery Performance,0
F000478,4,6,2024,4.34,1,Software & UI,0
F000479,2,1,2023,3.61,0,Battery Performance,0
F000480,2,1,2025,4.77,1,Battery Performance,0
F000481,1,1,2025,3.94,0,Charging Infrastructure,0
F000482,3,3,2024,4.53,1,Service Experience,0
F000483,2,5,2024,4.16,1,Battery Performance,0
F000484,3,9,2023,4.33,1,Build Quality,0
F000485,4,4,2022,3.69,0,Service Experience,0
F000486,1,8,2025,4.27,1,Battery Performance,0
F000487,3,3,2025,3.56,0,Charging Infrastructure,0
F000488,1,7,2024,4.16,1,Service Experience,0
F000489,1,1,2024,2.76,0,Software & UI,1
F000490,1,9,2022,3.54,0,Build Quality,1
F000491,2,1,2026,4.95,1,Battery Performance,0
F000492,1,3,2025,3.09,0,Build Quality,0
F000493,3,2,2026,5.0,1,Battery Performance,0
F000494,4,11,2022,3.7,0,Price & Value,0
F000495,2,11,2022,4.82,1,Battery Performance,0
F000496,2,1,2026,5.0,1,Service Experience,0
F000497,2,4,2022,4.41,1,Software & UI,0
F000498,3,7,2024,4.13,1,Service Experience,0
F000499,1,3,2022,4.19,0,Battery Performance,0
F000500,3,3,2022,5.0,1,Charging Infrastructure,0
F000501,2,8,2024,3.69,0,Battery Performance,0
F000502,1,7,2024,3.8,0,Price & Value,0
F000503,1,3,2026,4.72,1,Battery Performance,1
F000504,3,6,2023,4.25,1,Software & UI,0
F000505,1,9,2024,3.87,0,Battery Performance,1
F000506,2,12,2022,4.5,1,Software & UI,0
F000507,3,5,2023,3.78,0,Build Quality,0
F000508,3,2,2025,4.35,1,Charging Infrastructure,1
F000509,3,1,2024,4.13,1,Build Quality,0
F000510,1,8,2025,3.46,0,Service Experience,0
F000511,1,3,2025,3.0,0,Build Quality,0
F000512,1,1,2026,3.86,0,Service Experience,0
F000513,1,3,2022,3.35,0,Software & UI,0
F000514,1,6,2026,3.41,0,Battery Performance,0
F000515,1,5,2024,3.45,0,Battery Performance,0
F000516,4,2,2024,3.21,0,Service Experience,0
F000517,2,4,2023,4.39,1,Battery Performance,0
F000518,2,3,2024,4.64,1,Charging Infrastructure,0
F000519,1,5,2024,3.74,0,Charging Infrastructure,0
F000520,4,10,2022,3.15,0,Battery Performance,0
F000521,1,2,2024,3.9,0,Build Quality,0
F000522,1,1,2023,3.29,0,Service Experience,1
F000523,1,8,2025,3.74,0,Build Quality,1
F000524,3,3,2022,3.95,0,Software & UI,1
F000525,3,1,2026,4.94,1,Build Quality,0
F000526,1,10,2025,3.74,0,Battery Performance,1
F000527,2,11,2024,4.86,1,Software & UI,0
F000528,2,2,2025,4.83,1,Build Quality,0
F000529,1,12,2025,4.22,1,Software & UI,0
F000530,1,9,2023,2.9,0,Build Quality,1
F000531,4,3,2022,3.82,0,Price & Value,0
F000532,2,7,2026,5.0,1,Software & UI,0
F000533,1,1,2026,4.59,1,Build Quality,0
F000534,2,12,2026,3.87,0,Battery Performance,1
F000535,2,10,2025,5.0,1,Service Experience,0
F000536,3,4,2022,4.04,1,Service Experience,0
F000537,1,1,2025,4.24,1,Charging Infrastructure,0
