Employee_ID,Department,Role,Base_Salary,Incentive,Hire_Date,Country_ID
E00042,Manufacturing,Operator,38665,2021.44,2023-12-18,9
E00043,Manufacturing,Manager,131443,10027.42,2025-04-03,11
E00044,Manufacturing,Operator,41189,2169.07,2016-12-02,8
E00045,Manufacturing,Operator,44135,5610.34,2024-04-09,3
E00046,Manufacturing,Manager,112759,8297.29,2021-06-14,1
E00047,Manufacturing,Operator,35991,1965.25,2020-03-23,3
E00048,Manufacturing,Operator,38073,5086.86,2025-08-16,8
E00049,Manufacturing,Operator,37654,2530.78,2021-01-05,8
E00050,Manufacturing,Operator,43801,5381.23,2019-08-09,5
E00051,Manufacturing,Supervisor,50455,5267.11,2025-04-21,3
E00052,Manufacturing,Supervisor,63448,5537.84,2018-04-26,7
E00053,Manufacturing,Operator,42861,4695.09,2023-10-26,1
E00054,Manufacturing,Supervisor,64146,5483.34,2017-04-10,2
E00055,Manufacturing,Supervisor,56636,6522.31,2025-12-24,10
E00056,Manufacturing,Manager,118111,11895.67,2024-07-19,8
E00057,Manufacturing,Manager,142890,8184.6,2022-03-20,12
E00058,Manufacturing,Operator,37450,4413.47,2022-05-11,3
E00059,Manufacturing,Manager,130859,13727.18,2015-12-19,1
E00060,Manufacturing,Operator,42924,6019.6,2018-04-08,1
E00061,Manufacturing,Manager,133428,9165.48,2019-11-11,3
E00062,Manufacturing,Operator,36481,3699.74,2020-12-07,11
E00063,Manufacturing,Supervisor,63447,5005.26,2020-08-22,1
E00064,Manufacturing,Manager,114440,8157.9,2022-08-26,11
E00065,Manufacturing,Manager,136329,7994.9,2020-02-03,2
E00066,Manufacturing,Manager,146496,10605.86,2025-12-07,2
E00067,Manufacturing,Supervisor,58584,4204.69,2025-04-25,1
E00068,Manufacturing,Supervisor,55029,4977.06,2016-09-04,5
E00069,Manufacturing,Supervisor,50615,7181.39,2024-07-19,4
E00070,Manufacturing,Operator,43578,5254.57,2020-04-08,5
E00071,Manufacturing,Supervisor,55968,3609.91,2022-12-24,9
E00072,Manufacturing,Operator,42397,5447.22,2022-01-18,5
E00073,Manufacturing,Manager,139148,12804.17,2018-12-16,1
E00074,Manufacturing,Operator,35907,2269.5,2017-12-13,1
E00075,Manufacturing,Supervisor,52639,2709.64,2018-07-16,1
E00076,Manufacturing,Manager,122165,9230.32,2023-11-22,5
E00077,Manufacturing,Operator,35497,2945.91,2021-10-19,8
E00078,Manufacturing,Manager,128584,18019.48,2022-09-17,2
E00079,Manufacturing,Manager,138626,8807.45,2023-02-19,7
E00080,Manufacturing,Manager,122687,13657.85,2021-03-24,1
E00081,Manufacturing,Supervisor,59045,5011.18,2020-11-17,9
E00082,Manufacturing,Operator,39681,2726.58,2023-08-17,2
E00083,Manufacturing,Supervisor,62939,7833.53,2018-05-09,2
E00084,Manufacturing,Supervisor,55559,3260.0,2022-06-08,11
E00085,Manufacturing,Supervisor,57476,3670.83,2020-01-23,2
E00086,Manufacturing,Operator,39127,3343.74,2017-02-25,3
E00087,Manufacturing,Manager,145183,20151.62,2025-05-22,6
E00088,Manufacturing,Operator,41786,4490.61,2022-09-27,6
E00089,Manufacturing,Operator,40002,3145.69,2025-02-14,7
E00090,Manufacturing,Operator,37153,2573.84,2021-11-04,8
E00091,Manufacturing,Operator,37766,4134.32,2015-12-22,5
E00092,Manufacturing,Manager,123015,15541.85,2022-03-05,5
E00093,Manufacturing,Supervisor,57884,4519.36,2025-10-25,3
E00094,Manufacturing,Manager,126530,16751.83,2017-06-08,3
E00095,Manufacturing,Manager,122214,12116.49,2017-04-26,3
E00096,Manufacturing,Operator,44506,3827.42,2025-10-24,9
E00097,Manufacturing,Operator,37005,3180.56,2019-11-09,4
E00098,Manufacturing,Operator,42316,2343.14,2016-01-23,8
E00099,Manufacturing,Supervisor,62496,3674.31,2022-11-20,4
E00100,Manufacturing,Operator,39117,5367.5,2024-02-06,4
E00101,Manufacturing,Supervisor,62706,5500.81,2016-01-14,10
E00102,Manufacturing,Supervisor,50397,3811.74,2018-11-22,3
E00103,Manufacturing,Manager,139076,11923.9,2021-05-08,2
E00104,Manufacturing,Supervisor,62511,9018.8,2014-10-20,1
E00105,Manufacturing,Operator,37296,4494.17,2021-06-23,6
E00106,Manufacturing,Supervisor,50236,3440.57,2022-06-18,6
E00107,Manufacturing,Manager,110225,13980.7,2014-01-17,2
E00108,Manufacturing,Supervisor,54429,5798.46,2018-03-09,3
E00109,Manufacturing,Supervisor,53098,2958.38,2023-06-09,9
E00110,Manufacturing,Operator,44297,4132.27,2015-05-13,6
E00111,Manufacturing,Operator,36089,2671.24,2023-08-05,11
E00112,Manufacturing,Manager,146172,12663.87,2022-01-17,11
E00113,Manufacturing,Manager,122936,17178.92,2020-02-21,8
E00114,Manufacturing,Operator,40633,5342.96,2025-12-16,9
E00115,Manufacturing,Operator,40798,6037.15,2025-09-16,8
E00116,Manufacturing,Operator,37905,5251.51,2024-03-16,3
E00117,Manufacturing,Supervisor,56318,6551.04,2024-08-19,6
E00118,Manufacturing,Supervisor,52007,2757.48,2023-04-13,8
E00119,Manufacturing,Manager,124141,17425.32,2015-02-27,4
E00120,Manufacturing,Supervisor,50148,6110.33,2018-02-24,3
E00121,Manufacturing,Operator,44603,2586.52,2023-07-20,1
E00122,Manufacturing,Operator,39149,5540.67,2015-11-24,6
E00123,Manufacturing,Supervisor,58292,3637.74,2014-10-13,2
E00124,Manufacturing,Operator,39191,2605.63,2022-03-04,5
E00125,Manufacturing,Manager,123453,8983.85,2020-07-23,10
E00126,Manufacturing,Supervisor,57118,5977.96,2025-10-05,1
E00127,Manufacturing,Operator,35442,3673.16,2022-04-28,5
E00128,Manufacturing,Supervisor,58836,7152.99,2020-12-12,1
E00129,Manufacturing,Supervisor,56520,5170.4,2023-06-22,1
E00130,Manufacturing,Operator,39921,2026.13,2023-07-01,1
E00131,Manufacturing,Supervisor,61026,8337.17,2018-05-14,8
E00132,Manufacturing,Manager,115017,7588.83,2024-04-21,1
E00133,Manufacturing,Operator,37651,3752.4,2016-01-10,7
E00134,Manufacturing,Operator,35883,3745.67,2014-09-14,4
E00135,Manufacturing,Manager,122305,9899.17,2020-11-09,1
E00136,Manufacturing,Supervisor,58831,5624.06,2018-05-07,1
E00137,Manufacturing,Supervisor,64925,3338.01,2024-08-13,4
E00138,Manufacturing,Operator,39468,5167.67,2021-11-22,5
E00139,Manufacturing,Operator,41549,4379.55,2020-10-09,7
E00140,Manufacturing,Operator,41794,5415.14,2025-01-07,5
E00141,Manufacturing,Manager,126127,15398.83,2015-11-03,4
E00142,Manufacturing,Operator,43369,5548.34,2021-04-07,4
E00143,Manufacturing,Operator,43154,2405.88,2024-04-28,6
E00144,Manufacturing,Supervisor,60171,6666.59,2021-05-03,1
E00145,Manufacturing,Manager,122472,13155.98,2015-01-21,1
E00146,Manufacturing,Manager,132109,9065.16,2019-08-21,9
E00147,Manufacturing,Operator,36486,3774.95,2019-04-16,3
E00148,Manufacturing,Manager,138399,13083.64,2015-06-23,3
E00149,Manufacturing,Operator,44772,6281.33,2023-12-22,5
E00150,Manufacturing,Supervisor,50111,3198.96,2017-06-04,10
E00151,Manufacturing,Manager,125615,13067.85,2020-11-06,10
E00152,Manufacturing,Manager,121560,17727.35,2015-06-26,5
E00153,Manufacturing,Manager,124685,10438.1,2022-04-12,4
E00154,Manufacturing,Manager,143556,10782.51,2023-07-07,1
E00155,Manufacturing,Operator,36483,2493.47,2024-03-14,1
E00156,Manufacturing,Supervisor,54013,2925.38,2018-03-12,12
E00157,Manufacturing,Supervisor,51729,4745.35,2017-11-17,4
E00158,Manufacturing,Manager,129247,10291.67,2020-06-22,9
E00159,Manufacturing,Operator,37396,4905.08,2022-08-12,5
E00160,Manufacturing,Supervisor,57066,5158.09,2023-02-13,5
E00161,Manufacturing,Supervisor,54007,4607.78,2016-05-17,9
E00162,Manufacturing,Manager,119760,10027.36,2015-10-20,12
E00163,Manufacturing,Operator,41726,6248.59,2022-08-15,4
E00164,Manufacturing,Manager,136972,11046.5,2015-08-04,3
E00165,Manufacturing,Supervisor,58260,3086.12,2023-09-12,8
E00166,Manufacturing,Manager,129109,10318.93,2015-02-24,1
E00167,Manufacturing,Manager,146815,7898.89,2017-06-12,4
E00168,Manufacturing,Operator,39157,3847.26,2022-06-24,2
E00169,Manufacturing,Supervisor,63105,7073.5,2024-06-09,3
E00170,Manufacturing,Manager,147824,16548.54,2023-03-16,5
E00171,Manufacturing,Supervisor,57325,7673.79,2019-09-20,2
E00172,Manufacturing,Operator,39294,4480.05,2024-11-14,4
E00173,Manufacturing,Operator,44339,4948.47,2024-07-03,7
E00174,Manufacturing,Operator,43984,5096.53,2022-01-17,4
E00175,Manufacturing,Supervisor,58577,6702.61,2022-06-10,5
E00176,Manufacturing,Operator,39282,3545.53,2024-04-17,3
E00177,Manufacturing,Supervisor,55981,8345.15,2024-11-25,8
E00178,Manufacturing,Manager,114376,7233.6,2019-11-01,10
E00179,Manufacturing,Operator,40401,4566.88,2018-06-20,4
E00180,Manufacturing,Supervisor,57333,5393.01,2018-10-06,7
E00181,Manufacturing,Operator,36945,3812.82,2015-05-01,3
E00182,Manufacturing,Operator,41475,5679.9,2023-02-10,2
E00183,Manufacturing,Supervisor,56326,4989.16,2021-10-09,10
E00184,Manufacturing,Operator,41028,4868.54,2025-01-12,11
E00185,Manufacturing,Operator,43840,5961.83,2018-06-19,3
E00186,Manufacturing,Manager,132352,6979.9,2025-01-10,5
E00187,Manufacturing,Manager,147974,20291.53,2024-12-20,2
E00188,Manufacturing,Manager,135180,13275.34,2018-03-17,1
E00189,Manufacturing,Manager,121078,12755.99,2023-06-06,9
E00190,Manufacturing,Operator,40787,4358.63,2021-10-02,4
E00191,Manufacturing,Supervisor,57071,7307.8,2015-04-01,7
E00192,Manufacturing,Operator,38312,4639.66,2019-01-12,8
E00193,Manufacturing,Manager,116475,11816.04,2015-04-03,1
E00194,Manufacturing,Supervisor,59943,8947.61,2016-11-11,9
E00195,Manufacturing,Operator,42688,5943.41,2015-03-21,7
E00196,Manufacturing,Manager,147273,13441.24,2021-04-03,11
E00197,Manufacturing,Supervisor,51979,5440.17,2015-10-12,3
E00198,Manufacturing,Operator,35606,2249.37,2019-07-05,3
E00199,Manufacturing,Operator,43630,3498.89,2017-11-16,1
E00200,Manufacturing,Manager,113149,6833.67,2021-03-26,5
E00201,Manufacturing,Supervisor,55031,6738.87,2015-05-22,12
E00202,Manufacturing,Supervisor,59829,4310.7,2017-11-01,8
E00203,Manufacturing,Operator,42258,3902.75,2017-03-17,2
E00204,Manufacturing,Operator,38226,4341.28,2019-09-21,4
E00205,Manufacturing,Manager,112120,8669.9,2022-06-26,3
E00206,Manufacturing,Manager,137113,11114.8,2021-08-04,1
E00207,Manufacturing,Manager,122655,14124.68,2024-05-02,3
E00208,Manufacturing,Supervisor,52693,4772.51,2024-11-10,4
E00209,Manufacturing,Supervisor,56185,3858.23,2021-06-27,7
E00210,Manufacturing,Operator,44302,5080.42,2020-03-04,6
E00211,Manufacturing,Manager,111782,10263.87,2024-04-11,2
E00212,Manufacturing,Manager,133279,16366.92,2023-10-05,8
E00213,Manufacturing,Manager,124675,7019.89,2022-11-14,5
E00214,Manufacturing,Supervisor,61207,3371.16,2015-04-20,1
E00215,Manufacturing,Manager,134227,18019.21,2019-10-17,11
E00216,Manufacturing,Manager,111996,8873.79,2024-08-16,9
E00217,Manufacturing,Manager,128066,15924.77,2024-09-03,3
E00218,Manufacturing,Operator,41915,4593.19,2015-07-26,1
E00219,Manufacturing,Supervisor,52275,6868.64,2017-04-27,4
E00220,Manufacturing,Supervisor,63338,4100.63,2014-09-11,2
E00221,Manufacturing,Supervisor,57499,4298.4,2019-08-28,3
E00222,Manufacturing,Operator,44815,5682.74,2020-09-03,2
E00223,Manufacturing,Supervisor,51220,5872.62,2025-06-08,8
E00224,Manufacturing,Manager,127298,16052.75,2015-07-27,10
E00225,Manufacturing,Operator,39356,5856.38,2022-06-23,10
E00226,Manufacturing,Operator,41143,2458.97,2024-10-02,3
E00227,Manufacturing,Supervisor,63683,5394.04,2022-01-24,4
E00228,Manufacturing,Operator,36405,2762.09,2019-12-11,4
E00229,Manufacturing,Supervisor,52333,5069.92,2023-07-25,4
E00230,Manufacturing,Manager,122404,17855.11,2023-07-28,6
E00231,Manufacturing,Supervisor,63980,9480.84,2025-04-14,2
E00232,Manufacturing,Manager,121713,16754.33,2023-03-01,7
E00233,Manufacturing,Supervisor,51379,6316.9,2018-03-20,1
E00234,Manufacturing,Supervisor,55878,6703.77,2023-08-16,2
E00235,Manufacturing,Manager,146385,10818.32,2014-10-26,3
E00236,Manufacturing,Operator,44265,5176.13,2016-12-17,3
E00237,Manufacturing,Manager,133943,10079.13,2023-05-22,1
E00238,Manufacturing,Manager,143205,7389.5,2017-07-28,3
E00239,Manufacturing,Manager,144930,16870.44,2018-10-23,2
E00240,Manufacturing,Manager,135836,18547.06,2022-08-02,1
E00241,Manufacturing,Supervisor,57428,3718.09,2014-05-17,10
E00242,Manufacturing,Supervisor,59339,3893.63,2025-12-25,5
E00243,Manufacturing,Supervisor,62413,5288.64,2024-09-28,4
E00244,Manufacturing,Operator,36206,1835.81,2015-04-28,3
E00245,Manufacturing,Operator,36540,3327.25,2024-09-15,4
E00246,Manufacturing,Operator,44203,4492.92,2014-07-20,1
E00247,Manufacturing,Operator,37034,5312.13,2015-10-06,8
E00248,Manufacturing,Supervisor,50788,7101.06,2014-08-02,4
E00249,Manufacturing,Supervisor,60171,4204.17,2025-09-22,1
E00250,Manufacturing,Operator,41629,2747.2,2020-06-06,5
E00251,Manufacturing,Operator,40499,3312.93,2018-09-08,7
E00252,Manufacturing,Operator,40367,4535.76,2025-11-12,9
E00253,Manufacturing,Supervisor,53932,7755.52,2022-10-02,3
E00254,Manufacturing,Supervisor,58032,3806.44,2023-04-28,1
E00255,Manufacturing,Operator,42145,4879.9,2024-09-27,1
E00256,Manufacturing,Supervisor,57793,3399.35,2022-08-08,2
E00257,Manufacturing,Supervisor,63685,5369.63,2021-10-26,3
E00258,Manufacturing,Operator,44264,4312.72,2022-05-07,7
E00259,Manufacturing,Supervisor,56404,7032.6,2022-07-22,7
E00260,Manufacturing,Supervisor,57994,8662.4,2017-04-23,9
E00261,Manufacturing,Manager,121828,17530.48,2015-08-19,3
E00262,Manufacturing,Manager,146935,13289.87,2024-11-20,4
E00263,Manufacturing,Manager,145715,10656.09,2020-06-21,4
E00264,Manufacturing,Manager,145346,16366.84,2017-09-02,1
E00265,Manufacturing,Operator,35429,2901.75,2024-05-11,8
E00266,Manufacturing,Supervisor,53025,3174.6,2024-06-07,8
E00267,Manufacturing,Manager,147306,18728.17,2019-01-27,11
E00268,Manufacturing,Manager,131446,15186.35,2020-10-25,1
E00269,Manufacturing,Supervisor,63216,7959.01,2025-06-18,3
E00270,Manufacturing,Operator,37518,4069.17,2024-12-16,7
E00271,Manufacturing,Supervisor,61623,7562.74,2016-10-03,6
E00272,Manufacturing,Manager,128884,16383.08,2024-04-11,6
E00273,Manufacturing,Supervisor,64909,7854.04,2022-11-06,12
E00274,Manufacturing,Manager,110568,12609.83,2022-08-22,5
E00275,Manufacturing,Operator,40187,5326.39,2024-05-03,6
E00276,Manufacturing,Manager,138565,19057.51,2024-03-25,7
E00277,Manufacturing,Manager,117721,14833.54,2024-03-18,10
E00278,Manufacturing,Supervisor,57920,3327.02,2022-02-07,10
E00279,Manufacturing,Supervisor,50800,5580.63,2018-10-01,3
E00280,Manufacturing,Manager,145347,13470.97,2019-04-03,9
E00281,Manufacturing,Manager,120525,12925.41,2025-03-24,5
E00282,Manufacturing,Operator,36085,4204.17,2023-05-07,4
E00283,Manufacturing,Operator,39670,2888.76,2021-01-12,3
E00284,Manufacturing,Supervisor,56837,6407.65,2019-02-02,3
E00285,Manufacturing,Supervisor,59554,6840.81,2020-04-24,1
E00286,Manufacturing,Supervisor,55070,8180.17,2014-07-06,3
E00287,Manufacturing,Supervisor,60244,7650.49,2014-09-03,9
E00288,Manufacturing,Operator,42069,5517.55,2025-05-24,1
E00289,Manufacturing,Manager,143193,12828.92,2022-08-05,1
E00290,Manufacturing,Operator,37890,4272.46,2024-02-08,2
E00291,Manufacturing,Manager,142921,15153.43,2022-10-05,2
E00292,Manufacturing,Manager,123452,9857.22,2022-07-26,4
E00293,Manufacturing,Operator,37123,1858.73,2024-10-06,3
E00294,Manufacturing,Manager,119148,15492.98,2019-10-05,2
E00295,Manufacturing,Manager,132171,14432.64,2017-04-23,5
E00296,Manufacturing,Operator,40239,3201.21,2021-02-26,6
E00297,Manufacturing,Supervisor,59914,7718.12,2025-10-21,9
E00298,Manufacturing,Manager,131943,17942.79,2017-01-09,3
E00299,Manufacturing,Operator,39839,4296.09,2016-05-26,8
E00300,Manufacturing,Operator,35789,2284.48,2024-04-14,2
E00301,Manufacturing,Operator,38732,2761.11,2015-02-04,12
E00302,Manufacturing,Supervisor,53773,3890.94,2023-07-03,2
E00303,Manufacturing,Manager,141703,13856.04,2014-04-05,7
E00304,Manufacturing,Manager,142784,21045.77,2020-01-01,2
E00305,Manufacturing,Supervisor,52001,4531.3,2022-10-07,9
E00306,Manufacturing,Supervisor,63401,5446.15,2022-05-23,9
E00307,Manufacturing,Manager,134759,15424.14,2022-09-17,11
E00308,Manufacturing,Operator,42998,3076.6,2021-10-04,8
E00309,Manufacturing,Manager,111963,12356.88,2023-04-14,3
E00310,Manufacturing,Operator,35275,2641.08,2021-01-02,9
E00311,Manufacturing,Operator,43517,4922.47,2023-11-27,1
E00312,Manufacturing,Supervisor,53119,7587.47,2022-07-01,6
E00313,Manufacturing,Operator,36601,3222.02,2025-11-13,6
E00314,Manufacturing,Manager,119239,10369.7,2014-06-14,3
E00315,Manufacturing,Operator,43496,3228.13,2023-12-26,5
E00316,Manufacturing,Manager,131337,15676.86,2015-08-08,9
E00317,Manufacturing,Supervisor,50587,3573.99,2022-08-20,5
E00318,Manufacturing,Supervisor,60953,4282.48,2020-09-23,2
E00319,Manufacturing,Manager,114018,7362.63,2025-05-25,9
E00320,Manufacturing,Supervisor,57936,3220.69,2022-08-04,7
E00321,Manufacturing,Manager,145630,21099.92,2017-11-23,8
E00322,Manufacturing,Manager,131776,18789.74,2014-01-19,1
E00323,Manufacturing,Operator,37099,2708.13,2022-08-28,11
E00324,Manufacturing,Supervisor,54181,4115.17,2017-02-21,5
E00325,Manufacturing,Supervisor,64898,6696.15,2017-07-25,8
E00326,Manufacturing,Manager,148933,22049.28,2024-03-08,1
E00327,Manufacturing,Manager,141617,16618.14,2020-01-06,7
E00328,Manufacturing,Manager,134718,11138.22,2019-10-24,5
E00329,Manufacturing,Manager,112527,11611.75,2024-10-04,1
E00330,Manufacturing,Supervisor,62599,7714.27,2022-01-02,2
E00331,Manufacturing,Supervisor,63765,8802.43,2021-01-03,5
E00332,Manufacturing,Supervisor,58407,7535.05,2024-02-20,1
E00333,Manufacturing,Operator,43135,2401.61,2023-02-24,3
E00334,Manufacturing,Manager,145359,17369.58,2019-12-20,7
E00335,Manufacturing,Supervisor,56974,5670.32,2019-04-15,1
E00336,Manufacturing,Manager,147593,18289.27,2020-02-28,4
E00337,Manufacturing,Supervisor,52914,3047.38,2019-08-25,1
E00338,Manufacturing,Supervisor,52397,3580.81,2020-11-10,5
E00339,Manufacturing,Operator,37046,4356.81,2018-11-15,2
E00340,Manufacturing,Supervisor,60047,3427.17,2023-03-16,4
E00341,Manufacturing,Operator,37591,2375.56,2022-01-19,4
E00342,Manufacturing,Manager,137988,16039.41,2016-03-24,5
E00343,Manufacturing,Supervisor,61791,4603.86,2025-06-24,5
E00344,Manufacturing,Supervisor,61572,6167.17,2017-11-18,1
E00345,Manufacturing,Manager,131020,10498.13,2014-06-01,4
E00346,Manufacturing,Supervisor,53106,5108.14,2019-09-20,10
E00347,Manufacturing,Supervisor,59514,3993.77,2020-05-17,1
E00348,Manufacturing,Manager,120226,11958.83,2022-12-20,11
E00349,Manufacturing,Operator,41235,5120.14,2022-11-23,5
E00350,Manufacturing,Supervisor,59122,8855.87,2022-12-23,3
E00351,Manufacturing,Manager,143292,8295.29,2021-05-12,1
E00352,Manufacturing,Manager,118505,7782.69,2024-11-22,7
E00353,Manufacturing,Operator,40043,4783.9,2019-01-20,4
E00354,Manufacturing,Operator,36392,2424.48,2019-08-05,2
E00355,Manufacturing,Supervisor,63922,6677.91,2024-06-27,10
E00356,Manufacturing,Manager,135066,10664.17,2022-01-28,1
E00357,Manufacturing,Operator,42095,6104.62,2019-12-20,1
E00358,Manufacturing,Supervisor,51952,6311.02,2019-03-21,4
E00359,Manufacturing,Supervisor,51157,4161.6,2023-06-23,1
E00360,Manufacturing,Supervisor,59490,8125.01,2023-01-09,2
E00361,Manufacturing,Operator,44262,5628.19,2022-01-05,2
E00362,Manufacturing,Operator,39247,4159.0,2021-03-18,3
E00363,Manufacturing,Supervisor,51409,7604.48,2017-07-25,4
E00364,Manufacturing,Manager,148057,21742.45,2025-06-19,10
E00365,Manufacturing,Supervisor,57115,4912.0,2024-02-05,7
E00366,Manufacturing,Operator,43015,5671.42,2020-09-08,7
E00367,Manufacturing,Operator,37439,4865.82,2024-06-19,10
E00368,Manufacturing,Supervisor,54884,4071.45,2021-11-14,6
E00369,Manufacturing,Supervisor,63007,9314.64,2016-04-20,4
E00370,Manufacturing,Operator,42494,6067.76,2022-10-25,1
E00371,Manufacturing,Manager,136197,15061.25,2017-03-04,2
E00372,Manufacturing,Supervisor,56636,6436.94,2017-06-08,8
E00373,Manufacturing,Operator,37859,4163.89,2016-11-02,8
E00374,Manufacturing,Supervisor,50705,3024.94,2020-11-26,7
E00375,Manufacturing,Operator,43809,2679.46,2023-04-12,2
E00376,Manufacturing,Operator,38216,3973.57,2020-11-14,4
E00377,Manufacturing,Operator,43708,6329.0,2025-02-24,4
E00378,Manufacturing,Manager,147242,19960.04,2019-09-17,4
E00379,Manufacturing,Operator,35605,2487.44,2015-03-12,5
E00380,Manufacturing,Operator,44621,3929.26,2017-07-21,2
E00381,Manufacturing,Supervisor,56866,4734.7,2014-09-04,5
E00382,Manufacturing,Supervisor,63122,3439.74,2019-05-03,7
E00383,Manufacturing,Supervisor,55301,4009.32,2023-10-09,10
E00384,Manufacturing,Manager,118303,10341.03,2024-09-09,10
E00385,Manufacturing,Operator,37397,3503.46,2024-08-06,8
E00386,Manufacturing,Operator,44942,4790.51,2024-07-03,1
E00387,Manufacturing,Manager,141163,13948.42,2019-11-16,6
E00388,Manufacturing,Operator,35824,4348.43,2015-10-22,4
E00389,Manufacturing,Supervisor,64295,5213.65,2024-01-08,5
E00390,Manufacturing,Operator,35480,4021.12,2019-05-20,1
E00391,Manufacturing,Manager,142404,18657.15,2022-06-03,1
E00392,Manufacturing,Supervisor,59751,7131.07,2017-06-13,5
E00393,Manufacturing,Supervisor,57800,8222.2,2020-06-05,1
E00394,Manufacturing,Manager,132750,15303.42,2025-06-17,10
E00395,Manufacturing,Supervisor,63405,4883.77,2017-01-02,6
E00396,Manufacturing,Manager,112816,10957.35,2023-08-12,10
E00397,Manufacturing,Manager,116153,15906.31,2022-09-09,9
E00398,Manufacturing,Manager,142936,9906.96,2024-07-15,3
E00399,Manufacturing,Supervisor,50959,6372.44,2024-06-14,4
E00400,Manufacturing,Operator,37068,2338.6,2021-12-05,1
E00401,Manufacturing,Manager,131273,13856.24,2015-10-22,6
E00402,Manufacturing,Manager,137270,11624.3,2017-05-20,6
E00403,Manufacturing,Manager,137105,14985.31,2024-08-13,8
E00404,Manufacturing,Supervisor,54767,7339.03,2022-04-27,4
E00405,Manufacturing,Manager,146189,10097.76,2020-11-10,7
E00406,Manufacturing,Supervisor,50484,3899.27,2024-04-22,3
E00407,Manufacturing,Operator,35773,3745.94,2023-12-16,2
E00408,Manufacturing,Supervisor,54550,5098.16,2020-07-23,2
E00409,Manufacturing,Manager,115701,13425.57,2021-10-22,8
E00410,Manufacturing,Supervisor,61616,4944.34,2024-12-18,6
E00411,Manufacturing,Operator,41170,3264.17,2014-01-01,4
E00412,Manufacturing,Manager,138866,12012.88,2018-06-09,4
E00413,Manufacturing,Supervisor,61335,7629.71,2015-06-04,3
E00414,Manufacturing,Manager,147257,22007.12,2024-06-10,6
E00415,Manufacturing,Supervisor,62501,6317.16,2021-05-02,6
E00416,Manufacturing,Supervisor,60249,3230.54,2021-04-13,8
E00417,Manufacturing,Supervisor,51599,4307.91,2025-04-24,4
E00418,Manufacturing,Operator,43998,6577.31,2018-05-16,2
E00419,Manufacturing,Operator,35735,4381.18,2019-03-08,1
E00420,Manufacturing,Supervisor,52264,3846.58,2020-02-15,2
E00421,Manufacturing,Operator,40909,3139.04,2025-08-18,1
E00422,Manufacturing,Manager,135108,7544.1,2022-03-28,7
E00423,Manufacturing,Manager,143235,19849.1,2017-01-11,5
E00424,Manufacturing,Manager,132165,8228.23,2017-01-20,6
E00425,Manufacturing,Supervisor,60210,3818.16,2025-01-20,4
